Title,Image,Address,Area,_2shyij,dist_to_airpt,score,rating,add_info1,add_info2,add_info3,add_info4,Price,link,Room,Description,rev_score
Fitzgerald Hotel,https://exp.cdn-hotels.com/hotels/1000000/10000/1000/917/f5564165_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,620 Post Street San Francisco 94109 CA,Theater District,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Parking available,Bathtub,,,$144 ,https://www.hotels.com/ho181726/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Quadruple Room,City-center hotel within easy reach of SHN Curran Theatre,
The St. Regis San Francisco,https://exp.cdn-hotels.com/hotels/2000000/1330000/1322000/1321986/8631a7bf_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,125 3rd St San Francisco 94103 CA,Downtown San Francisco,0.4 miles to city center,12 miles to San Francisco International Airport (SFO),8.8,Fabulous,Parking available,Pet-friendly,Gym,Restaurant,1863,https://www.hotels.com/ho235570/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=9&FPQ=6&MGT=1&ZSX=0&SYE=3&YGF=0,,Luxury hotel with restaurant near San Francisco Museum of Modern Art ,
The Adrian,https://exp.cdn-hotels.com/hotels/21000000/20650000/20645900/20645825/2ef05d96_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,493 Eddy St San Francisco 94109 CA,Tenderloin,0.5 miles to city center,12 miles to San Francisco International Airport (SFO),,,Airport transfer,,,,$53 ,https://www.hotels.com/ho661666400/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&q-room-0-adults-alter=2&q-room-1-adults-alter=2&WOD=1&WOE=2&JHR=1&FPQ=2&MGT=1&ZSX=0&SYE=3&YGF=0,,Walking distance from Orpheum Theater,
The Utah Inn,https://exp.cdn-hotels.com/hotels/9000000/8770000/8766600/8766561/4427e83f_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,500 4th Street San Francisco 94107 CA,China Basin,0.8 miles to city center,11 miles to San Francisco International Airport (SFO),,,Airport transfer,Restaurant,,,$59 ,https://www.hotels.com/ho469712/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&q-room-0-adults-alter=2&q-room-1-adults-alter=2&WOD=1&WOE=2&JHR=1&FPQ=2&MGT=1&ZSX=0&SYE=3&YGF=0,Standard Room 1 Double Bed Shared Bathroom,Inn with restaurant near Oracle Park ,
Edwardian Hotel,https://exp.cdn-hotels.com/hotels/1000000/60000/55400/55334/ef89b3ff_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1668 Market Street San Francisco 94102 CA,Civic Center,1.2 miles to city center,11 miles to San Francisco International Airport (SFO),,Good,,,,,$110 ,https://www.hotels.com/ho200708/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&q-room-0-adults-alter=2&q-room-1-adults-alter=2&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,,Within easy reach of Van Ness Avenue,
Chateau Tivoli B&B,https://exp.cdn-hotels.com/hotels/2000000/1160000/1154600/1154548/054d0b03_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1057 Steiner Street San Francisco 94115 CA,Western Addition,1.5 miles to city center,12 miles to San Francisco International Airport (SFO),9.4,Exceptional,Connecting rooms available,Connecting rooms available,,,$332 ,https://www.hotels.com/ho223004/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=4&FPQ=5&MGT=1&ZSX=0&SYE=3&YGF=0,Economy Apartment Ensuite (Lola Montez Economy Suite),B&B convenient to Painted Ladies aimed at LGBTQ guests ,
Washington Square Inn,https://exp.cdn-hotels.com/hotels/2000000/1050000/1044900/1044898/dbcb50b9_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1660 Stockton Street San Francisco 94133 CA,Telegraph Hill,1.0 mile to city center,13 miles to San Francisco International Airport (SFO),8.2,Very Good,,,,,$161 ,https://www.hotels.com/ho311779/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&q-room-0-adults-alter=2&q-room-1-adults-alter=2&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,,3-star guesthouse within walking distance of Coit Tower,
The Annex at Hayes Valley,https://exp.cdn-hotels.com/hotels/71000000/70960000/70958800/70958745/157b8709_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,420/422 Hayes Street San Francisco 94102 CA,Hayes Valley,1.1 miles to city center,11 miles to San Francisco International Airport (SFO),,,Bathtub,,,,$87 ,https://www.hotels.com/ho2271679840/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&q-room-0-adults-alter=2&q-room-1-adults-alter=2&WOD=1&WOE=2&JHR=1&FPQ=2&MGT=1&ZSX=0&SYE=3&YGF=0,,Walking distance from San Francisco City Hall,
Monte Cristo Bed and Breakfast,https://exp.cdn-hotels.com/hotels/3000000/2030000/2025000/2024980/5ad9e439_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,600 Presidio Avenue San Francisco 94115 CA,Lower Pacific Heights,2.1 miles to city center,12 miles to San Francisco International Airport (SFO),9.6,Exceptional,Airport transfer,Airport transfer,Free breakfast,Bathtub,$300 ,https://www.hotels.com/ho268026/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&q-room-0-adults-alter=2&q-room-1-adults-alter=2&WOD=1&WOE=2&JHR=3&FPQ=4&MGT=1&ZSX=0&SYE=3&YGF=0,Deluxe Cal King,Victorian B&B within easy reach of Palace of Fine Arts,
Samesun San Francisco,https://exp.cdn-hotels.com/hotels/70000000/69650000/69643900/69643865/e65a3787_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1475 Lombard St San Francisco 94123 CA,Cow Hollow,1.3 miles to city center,13 miles to San Francisco International Airport (SFO),,Good,Free parking,Bathtub,,,$192 ,https://www.hotels.com/ho2229603680/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,,City-center hostel within easy reach of Lombard Street,
