Title,Image,Address,Area,_2shyij,dist_to_airpt,score,rating,add_info1,add_info2,add_info3,add_info4,Price,link,Room,Description,rev_score
Mithila Hotel,https://exp.cdn-hotels.com/hotels/1000000/880000/871800/871791/b09d14be_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,972 Sutter St San Francisco 94109 CA,Lower Nob Hill,0.4 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Parking available,,,,$122 ,https://www.hotels.com/ho218696/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Family Quadruple Room,City-center hotel within walking distance of The Regency Ballroom,
Hotel Riu Plaza Fisherman's Wharf,https://exp.cdn-hotels.com/hotels/1000000/30000/24700/24625/6fb55356_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2500 Mason St San Francisco 94133 CA,North Beach,1.4 miles to city center,13 miles to San Francisco International Airport (SFO),8.2,Very Good,Pool,Parking available,Gym,Restaurant,$179 ,https://www.hotels.com/ho105656/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Deluxe Room 2 Queen Beds,4-star hotel with outdoor pool near Aquarium of the Bay ,
Chancellor Hotel on Union Square,https://exp.cdn-hotels.com/hotels/1000000/30000/20600/20547/58080fa5_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,433 Powell St San Francisco 94102 CA,Union Square,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),8.8,Fabulous,Bathtub,Internet access,Connecting rooms available,,$212 ,https://www.hotels.com/ho164133/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=3&FPQ=4&MGT=1&ZSX=0&SYE=3&YGF=0,Standard Room 2 Double Beds ,City-center hotel within easy reach of San Francisco Museum of Modern Art,
La Quinta Inn & Suites by Wyndham San Francisco Airport N,https://exp.cdn-hotels.com/hotels/1000000/10000/9400/9329/d78b724d_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,20 Airport Blvd South San Francisco 94080 CA,Downtown South San Francisco,9.5 miles to city center,2.6 miles to San Francisco International Airport (SFO),8,Very Good,Pool,Free parking,Pet-friendly,Airport transfer,$138 ,https://www.hotels.com/ho115204/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Room 2 Queen Beds Non Smoking,Suburban hotel in Downtown South San Francisco with outdoor pool and 24-hour fitness,
Bay Landing San Francisco Airport Hotel,https://exp.cdn-hotels.com/hotels/2000000/1120000/1110800/1110785/5d5678a9_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1550 Bayshore Hwy Burlingame 94010 CA,Burlingame,13 miles to city center,1.7 miles to San Francisco International Airport (SFO),8.8,Fabulous,Free parking,Gym,Bathtub,Connecting rooms available,$161 ,https://www.hotels.com/ho222947/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Deluxe Double Room 2 Double Beds,Burlingame hotel on waterfront,
Hotel EPIK,https://exp.cdn-hotels.com/hotels/57000000/56010000/56002500/56002425/1be72797_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,706 Polk Street San Francisco 94109 CA,Little Saigon,0.7 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Airport transfer,Restaurant,Bar,,$115 ,https://www.hotels.com/ho1793077600/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&q-room-0-adults-alter=2&q-room-1-adults-alter=2&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,,Hotel with restaurant near Van Ness Avenue ,
Bay Bridge Inn,https://exp.cdn-hotels.com/hotels/2000000/1350000/1345200/1345121/ed8e7558_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,966 Harrison St San Francisco 94107 CA,South of Market,0.7 miles to city center,11 miles to San Francisco International Airport (SFO),,Good,Free parking,Bathtub,,,$152 ,https://www.hotels.com/ho234414/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,City Room 2 Double Beds,Convenient to Warfield Theater,
Signature San Francisco,https://exp.cdn-hotels.com/hotels/27000000/26600000/26597900/26597887/0100efb5_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,259 7th Street San Francisco 94103 CA,South of Market,0.7 miles to city center,11 miles to San Francisco International Airport (SFO),,Good,Parking available,Free breakfast,Bathtub,,$127 ,https://www.hotels.com/ho852132384/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Executive Suite Multiple Beds,City-center hotel within easy reach of Warfield Theater,
Villa Florence Hotel,https://exp.cdn-hotels.com/hotels/1000000/10000/5500/5425/fe00176c_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,225 Powell St San Francisco 94102 CA,Union Square,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Parking available,Gym,Bathtub,Internet access,$207 ,https://www.hotels.com/ho129366/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=3&FPQ=4&MGT=1&ZSX=0&SYE=3&YGF=0,Deluxe Room 2 Double Beds,City-center hotel steps from Union Square ,
Sonesta Select San Francisco Airport Oyster Point Waterfront,https://exp.cdn-hotels.com/hotels/1000000/550000/548400/548380/d1f5b3d8_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1300 Veterans Way South San Francisco 94080 CA,Oyster Point,8.4 miles to city center,3.5 miles to San Francisco International Airport (SFO),8.6,Fabulous,Pool,Parking available,Pet-friendly,Airport transfer,$159 ,https://www.hotels.com/ho169156/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Deluxe Room 2 Queen Beds,3-star hotel in South San Francisco with indoor pool and restaurant,
Red Roof Inn PLUS+ San Francisco Airport,https://exp.cdn-hotels.com/hotels/1000000/30000/28200/28200/52a90a3b_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,777 Airport Blvd Burlingame 94010 CA,Burlingame,14 miles to city center,2.8 miles to San Francisco International Airport (SFO),,Good,Pool,Parking available,Pet-friendly,Restaurant,$99 ,https://www.hotels.com/ho109456/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=1&FPQ=2&MGT=1&ZSX=0&SYE=3&YGF=0,Deluxe Room 2 Double Beds (Smoke Free),3-star Burlingame hotel with restaurant,
Hotel Caza Fisherman’s Wharf,https://exp.cdn-hotels.com/hotels/39000000/38250000/38249400/38249309/67096996_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1300 Columbus Avenue San Francisco 94133 CA,Fisherman's Wharf,1.4 miles to city center,13 miles to San Francisco International Airport (SFO),8.8,Fabulous,Pool,Parking available,Pet-friendly,Gym,$189 ,https://www.hotels.com/ho1224977888/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Deluxe Room 2 Queen Beds,4-star hotel with outdoor pool near Ghirardelli Square ,
Hotel 1550,https://exp.cdn-hotels.com/hotels/1000000/460000/455600/455591/3b83b473_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1550 El Camino Real San Bruno 94066 CA,San Bruno,12 miles to city center,0.9 miles to San Francisco International Airport (SFO),8,Very Good,Free parking,Airport transfer,Bathtub,Connecting rooms available,$116 ,https://www.hotels.com/ho169175/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Standard Double Room,3.5-star hotel in San Bruno,
Francisco Bay Inn,https://exp.cdn-hotels.com/hotels/1000000/900000/890900/890830/d556c0a5_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1501 Lombard St San Francisco 94123 CA,Cow Hollow,1.4 miles to city center,13 miles to San Francisco International Airport (SFO),,Good,Free parking,,,,$109 ,https://www.hotels.com/ho205089/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Standard Double Room 2 Double Beds Non Smoking,City-center hotel within easy reach of Lombard Street,
Inn on Broadway,https://exp.cdn-hotels.com/hotels/1000000/980000/979400/979347/0c03b931_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2201 Van Ness Avenue San Francisco 94109 CA,Pacific Heights,1.0 mile to city center,13 miles to San Francisco International Airport (SFO),,Good,Free parking,Airport transfer,Bathtub,,$79 ,https://www.hotels.com/ho216587/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=1&FPQ=2&MGT=1&ZSX=0&SYE=3&YGF=0,Deluxe Room 2 Queen Beds,City-center motel within easy reach of Van Ness Avenue,
Larkspur Landing South San Francisco - An All-Suite Hotel,https://exp.cdn-hotels.com/hotels/1000000/290000/287700/287665/cd5db6b9_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,690 Gateway Blvd South San Francisco 94080 CA,The East Side,8.9 miles to city center,3.0 miles to San Francisco International Airport (SFO),8,Very Good,Parking available,Pet-friendly,Gym,Kitchen,$143 ,https://www.hotels.com/ho164144/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Executive Suite,Suburban guestrooms in The East Side with kitchens,
Park Pointe Hotel,https://exp.cdn-hotels.com/hotels/1000000/10000/3400/3308/0084bec3_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,245 S Airport Blvd South San Francisco 94080 CA,South San Francisco,9.6 miles to city center,2.4 miles to San Francisco International Airport (SFO),,Good,Free parking,Bathtub,,,$82 ,https://www.hotels.com/ho132601/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=1&FPQ=2&MGT=1&ZSX=0&SYE=3&YGF=0,Deluxe 2 Beds - Not Park n Fly,No-frills South San Francisco hotel with conference center,
The Clift Royal Sonesta Hotel,https://exp.cdn-hotels.com/hotels/1000000/30000/21100/21073/b5bcf762_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,495 Geary St San Francisco 94102 CA,Union Square,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),8.8,Fabulous,Parking available,Pet-friendly,Spa,Gym,$369 ,https://www.hotels.com/ho115065/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=4&FPQ=5&MGT=1&ZSX=0&SYE=3&YGF=0,Executive Room 2 Queen Beds,4-star hotel with restaurant near SHN Curran Theatre ,
YOTEL San Francisco,https://exp.cdn-hotels.com/hotels/20000000/19520000/19510300/19510249/367e099d_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1095 Market St San Francisco 94103 CA,Mid-Market,0.5 miles to city center,11 miles to San Francisco International Airport (SFO),8.4,Very Good,Gym,,,,$286 ,https://www.hotels.com/ho625327968/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=3&FPQ=4&MGT=1&ZSX=0&SYE=3&YGF=0,Junior Suite 1 Queen Bed with Sofa bed,City-center hotel within walking distance of Orpheum Theater,
Hotel G San Francisco,https://exp.cdn-hotels.com/hotels/1000000/30000/24600/24540/5eb4d990_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,386 Geary Street San Francisco 94102 CA,Union Square,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),8.2,Very Good,Gym,Restaurant,Internet access,Connecting rooms available,$161 ,https://www.hotels.com/ho114613/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&q-room-0-adults-alter=2&q-room-1-adults-alter=2&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Deluxe Room 1 Queen Bed,4-star hotel with restaurant near Moscone Convention Center ,
Hotel Triton,https://exp.cdn-hotels.com/hotels/1000000/10000/1200/1110/0fdb0ab1_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,342 Grant Ave San Francisco 94108 CA,Union Square,0.3 miles to city center,12 miles to San Francisco International Airport (SFO),8.4,Very Good,Pet-friendly,Gym,Restaurant,,$278 ,https://www.hotels.com/ho115718/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=3&FPQ=4&MGT=1&ZSX=0&SYE=3&YGF=0,Deluxe Room 2 Double Beds,4-star hotel with restaurant near 555 California Street ,
Stanford Court San Francisco,https://exp.cdn-hotels.com/hotels/7000000/6280000/6272000/6271901/97b02c06_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,905 California Street San Francisco 94108 CA,Nob Hill,0.3 miles to city center,12 miles to San Francisco International Airport (SFO),8.8,Fabulous,Parking available,Pet-friendly,Gym,Restaurant,$269 ,https://www.hotels.com/ho436435/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=3&FPQ=4&MGT=1&ZSX=0&SYE=3&YGF=0,Premier Room 2 Double Beds City View (Newly Renovated),4-star hotel with restaurant near Grace Cathedral ,
King George Hotel,https://exp.cdn-hotels.com/hotels/1000000/20000/14500/14451/825e2808_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,334 Mason Street San Francisco 94102 CA,Union Square,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,,,,,$217 ,https://www.hotels.com/ho114653/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=3&FPQ=4&MGT=1&ZSX=0&SYE=3&YGF=0,Superior Room 2 Double Beds,Edwardian hotel within walking distance of Warfield Theater,
Club Quarters Hotel in San Francisco,https://exp.cdn-hotels.com/hotels/1000000/920000/913000/912982/832c79fe_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,424 Clay St San Francisco 94111 CA,Financial District,0.7 miles to city center,12 miles to San Francisco International Airport (SFO),8.4,Very Good,Pet-friendly,Gym,Restaurant,Connecting rooms available,$299 ,https://www.hotels.com/ho210688/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=3&FPQ=4&MGT=1&ZSX=0&SYE=3&YGF=0,Suite 1 Queen Bed with Sofa bed (One Room),4-star hotel with restaurant near Exploratorium ,
Super 8 by Wyndham San Bruno /SF Intl Arpt West,https://exp.cdn-hotels.com/hotels/1000000/290000/283200/283107/eaa5bb54_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,421 El Camino Real San Bruno 94066 CA,San Bruno,11 miles to city center,1.4 miles to San Francisco International Airport (SFO),8.4,Very Good,Free parking,Airport transfer,Bathtub,Internet access,$108 ,https://www.hotels.com/ho202981/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Room 2 Queen Beds Non Smoking,San Bruno hotel in entertainment district,
Lombard Plaza Motel,https://exp.cdn-hotels.com/hotels/8000000/7230000/7222300/7222261/b862b152_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2026 Lombard Street San Francisco 94123 CA,Cow Hollow,1.7 miles to city center,13 miles to San Francisco International Airport (SFO),8.4,Very Good,Free parking,,,,$111 ,https://www.hotels.com/ho355636/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Standard Room 2 Queen Beds Non Smoking,Within easy reach of Union Street,
Handlery Union Square Hotel,https://exp.cdn-hotels.com/hotels/1000000/10000/6700/6666/4fd95a3a_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,351 Geary St San Francisco 94102 CA,Union Square,0.1 miles to city center,12 miles to San Francisco International Airport (SFO),8.4,Very Good,Pool,Parking available,Pet-friendly,Gym,$209 ,https://www.hotels.com/ho114335/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=3&FPQ=4&MGT=1&ZSX=0&SYE=3&YGF=0,Standard Double Room 2 Double Beds,Family-friendly hotel with outdoor pool near SHN Curran Theatre ,
Hotel Spero,https://exp.cdn-hotels.com/hotels/1000000/20000/12500/12493/07b56f09_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,405 Taylor St San Francisco 94102 CA,Union Square,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),8.6,Fabulous,Pet-friendly,Gym,Restaurant,Bar,$253 ,https://www.hotels.com/ho164153/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=3&FPQ=4&MGT=1&ZSX=0&SYE=3&YGF=0,Deluxe Room 2 Double Beds (Two Doubles Room),4-star hotel with restaurant near Asian Art Museum of San Francisco ,
Best Western Plus Grosvenor Airport Hotel,https://exp.cdn-hotels.com/hotels/1000000/10000/7700/7635/d6646af0_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,380 S Airport Boulevard South San Francisco 94080 CA,South San Francisco,9.9 miles to city center,2.1 miles to San Francisco International Airport (SFO),8.4,Very Good,Pool,Parking available,Airport transfer,Gym,$120 ,https://www.hotels.com/ho193272/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Standard Room 2 Double Beds Non Smoking,Suburban hotel in South San Francisco with restaurant and bar/lounge,
Hotel Zephyr San Francisco,https://exp.cdn-hotels.com/hotels/10000000/9870000/9868900/9868852/1e78b929_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,250 Beach Street San Francisco 94133 CA,North Beach,1.4 miles to city center,13 miles to San Francisco International Airport (SFO),8,Very Good,Parking available,Pet-friendly,Bathtub,Internet access,$239 ,https://www.hotels.com/ho491384/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=3&FPQ=4&MGT=1&ZSX=0&SYE=3&YGF=0,Room 2 Double Beds,4-star hotel connected to a shopping center within walking distance of Pier 39,
Holiday Inn Express San Francisco Airport South an IHG Hotel,https://exp.cdn-hotels.com/hotels/1000000/10000/2400/2336/88bef645_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1250 Bayshore Hwy Burlingame 94010 CA,Burlingame,14 miles to city center,2.2 miles to San Francisco International Airport (SFO),8,Very Good,Parking available,Free breakfast,Connecting rooms available,,$114 ,https://www.hotels.com/ho106859/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Standard Room 2 Queen Beds,Burlingame hotel on boardwalk,
Royal Pacific Motor Inn,https://exp.cdn-hotels.com/hotels/3000000/2060000/2057700/2057641/7a0c4e20_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,661 Broadway San Francisco 94133 CA,Russian Hill,0.7 miles to city center,13 miles to San Francisco International Airport (SFO),,Good,Free parking,,,,$116 ,https://www.hotels.com/ho537679/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,,Within easy reach of Coit Tower,
Hyatt Regency San Francisco Downtown SOMA,https://exp.cdn-hotels.com/hotels/1000000/10000/500/491/76fc74a6_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,50 3rd St San Francisco 94103 CA,Union Square,0.3 miles to city center,12 miles to San Francisco International Airport (SFO),8.2,Very Good,Pet-friendly,Gym,Restaurant,Bar,$329 ,https://www.hotels.com/ho114219/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=4&FPQ=5&MGT=1&ZSX=0&SYE=3&YGF=0,Room 2 Queen Beds Accessible Bathtub,4-star hotel with restaurant near San Francisco Museum of Modern Art ,
La Quinta Inn & Suites by Wyndham San Francisco Airport West,https://exp.cdn-hotels.com/hotels/1000000/30000/27000/26945/e41886cd_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,1390 El Camino Real Millbrae 94030 CA,Millbrae,12 miles to city center,0.8 miles to San Francisco International Airport (SFO),8.6,Fabulous,Pool,Free parking,Pet-friendly,Airport transfer,$154 ,https://www.hotels.com/ho112119/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Deluxe Room 2 Queen Beds Non Smoking,Millbrae hotel with outdoor pool and restaurant,
Hotel Aura SFO,https://exp.cdn-hotels.com/hotels/2000000/1090000/1080700/1080604/adbfb37e_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,190 El Camino Real San Bruno 94066 CA,San Bruno,12 miles to city center,1.1 miles to San Francisco International Airport (SFO),8.6,Fabulous,Free parking,Airport transfer,Bathtub,,$125 ,https://www.hotels.com/ho221136/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Standard Room 2 Queen Beds Accessible,3-star hotel in San Bruno,
Cow Hollow Inn & Suites,https://exp.cdn-hotels.com/hotels/9000000/8640000/8635000/8634983/74dd7cc2_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2190 Lombard Street San Francisco 94123 CA,Cow Hollow,1.8 miles to city center,13 miles to San Francisco International Airport (SFO),8.4,Very Good,Free parking,Restaurant,Bathtub,,$124 ,https://www.hotels.com/ho463409/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Room 2 Double Bed Busy Lombard Street,Hotel with restaurant near Presidio of San Francisco ,
The Mosser,https://exp.cdn-hotels.com/hotels/1000000/560000/553900/553859/1e7af868_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,54 4th Street San Francisco 94103 CA,Downtown San Francisco,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),8,Very Good,Restaurant,Bar,,,$125 ,https://www.hotels.com/ho122274/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&q-room-0-adults-alter=2&q-room-1-adults-alter=2&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Deluxe Room,3-star hotel with restaurant near Moscone Convention Center ,
Grant Hotel,https://exp.cdn-hotels.com/hotels/1000000/910000/907700/907617/44c99f50_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,753 Bush St San Francisco 94108 CA,Union Square,0.2 miles to city center,12 miles to San Francisco International Airport (SFO),,Good,Parking available,Bathtub,,,$150 ,https://www.hotels.com/ho207080/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Room 2 Double Beds,City-center hotel within easy reach of SHN Curran Theatre,
Motel Capri,https://exp.cdn-hotels.com/hotels/3000000/2690000/2681700/2681602/57d029bb_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,2015 Greenwich St San Francisco 94123 CA,Cow Hollow,1.6 miles to city center,13 miles to San Francisco International Airport (SFO),,Good,Free parking,,,,$119 ,https://www.hotels.com/ho313861/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=2&FPQ=3&MGT=1&ZSX=0&SYE=3&YGF=0,Standard Room 2 Queen Beds,Convenient to Union Street,
Galleria Park Hotel,https://exp.cdn-hotels.com/hotels/1000000/30000/22400/22303/ba451360_z.jpg?impolicy=fcrop&w=1000&h=666&q=medium,191 Sutter St San Francisco 94104 CA,Financial District,0.3 miles to city center,12 miles to San Francisco International Airport (SFO),9,Superb,Parking available,Pet-friendly,Gym,Restaurant,$289 ,https://www.hotels.com/ho129368/?q-check-in=2022-03-28&q-check-out=2022-03-29&q-rooms=1&q-room-0-adults=4&q-room-0-children=0&sort-order=BEST_SELLER&WOD=1&WOE=2&JHR=3&FPQ=4&MGT=1&ZSX=0&SYE=3&YGF=0,Standard Room 2 Queen Beds,4-star hotel with restaurant near 555 California Street ,
